# Snapshot of intracavity temporal pulse
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, S=3.4641016151377544
# columns: tau_ps, |E(tau)|^2_norm
-1.420454545454545503e+01,6.622486674591859801e-02
-1.414895036470378820e+01,6.879158286794130606e-02
-1.409335527486212492e+01,7.143828861707968159e-02
-1.403776018502045808e+01,7.393320115933019188e-02
-1.398216509517879480e+01,7.616729491439959421e-02
-1.392657000533712974e+01,7.810255452965715606e-02
-1.387097491549546291e+01,7.974048554488896712e-02
-1.381537982565379963e+01,8.110314461904023775e-02
-1.375978473581213279e+01,8.222187483855171453e-02
-1.370418964597046774e+01,8.313075873720775222e-02
-1.364859455612880268e+01,8.386294853000121619e-02
-1.359299946628713762e+01,8.444874104534663695e-02
-1.353740437644547256e+01,8.491470784618322665e-02
-1.348180928660380751e+01,8.528345734393025235e-02
-1.342621419676214245e+01,8.557377223101771124e-02
-1.337061910692047739e+01,8.580096032284433016e-02
-1.331502401707881234e+01,8.597731773714155368e-02
-1.325942892723714550e+01,8.611263476704643371e-02
-1.320383383739548222e+01,8.621469844151798123e-02
-1.314823874755381539e+01,8.628975696108225069e-02
-1.309264365771215211e+01,8.634292432715323651e-02
-1.303704856787048527e+01,8.637851024631938712e-02
-1.298145347802882021e+01,8.640027149871115641e-02
-1.292585838818715516e+01,8.641158673539839352e-02
-1.287026329834549010e+01,8.641556591650154107e-02
-1.281466820850382682e+01,8.641510854515098428e-02
-1.275907311866215998e+01,8.641292963130697835e-02
-1.270347802882049493e+01,8.641157001802310389e-02
-1.264788293897882987e+01,8.641340667412346355e-02
-1.259228784913716481e+01,8.642067119029671340e-02
-1.253669275929549798e+01,8.643547983166198490e-02
-1.248109766945383470e+01,8.645986951936059095e-02
-1.242550257961216786e+01,8.649582984909565120e-02
-1.236990748977050281e+01,8.654531536622776799e-02
-1.231431239992883953e+01,8.661022283130292987e-02
-1.225871731008717269e+01,8.669231824093642791e-02
-1.220312222024550941e+01,8.679310475462498342e-02
-1.214752713040384258e+01,8.691362774545319247e-02
-1.209193204056217930e+01,8.705422286027710010e-02
-1.203633695072051246e+01,8.721421918668678663e-02
-1.198074186087884740e+01,8.739161807052257813e-02
-1.192514677103718235e+01,8.758277100072388299e-02
-1.186955168119551729e+01,8.778208336368269193e-02
-1.181395659135385223e+01,8.798176757319359220e-02
-1.175836150151218717e+01,8.817166592199214559e-02
-1.170276641167052212e+01,8.833915397353697685e-02
-1.164717132182885528e+01,8.846912712254299815e-02
-1.159157623198719200e+01,8.854406037862148915e-02
-1.153598114214552517e+01,8.854412328740707272e-02
-1.148038605230386011e+01,8.844732351502232470e-02
-1.142479096246219505e+01,8.822965435200931517e-02
