# Snapshot of LLE THROUGH-PORT spectrum
# timestamp=20260713_112956, j=554300, DV=11.747159090895252, P_in_W=0.00943581514737261, kappa_ex=1516139.3812852972
# columns: mu, f_Hz, f_THz, lambda_m, lambda_nm, P_through_dBm, P_through_W
-2.560000000000000000e+02,1.840296615582743125e+14,1.840296615582743129e+02,1.629044228313535087e-06,1.629044228313535086e+03,-1.821634192399405094e+02,6.076563994917562820e-22
-2.550000000000000000e+02,1.840648615582743125e+14,1.840648615582743162e+02,1.628732694888028474e-06,1.628732694888028391e+03,-1.873376737731320532e+02,1.846003936020760040e-22
-2.540000000000000000e+02,1.841000615582743125e+14,1.841000615582743194e+02,1.628421280593134878e-06,1.628421280593134952e+03,-1.893989405889046225e+02,1.148433734440478415e-22
-2.530000000000000000e+02,1.841352615582743125e+14,1.841352615582743226e+02,1.628109985360533470e-06,1.628109985360533528e+03,-1.885508340119778268e+02,1.396100230519753935e-22
-2.520000000000000000e+02,1.841704615582743125e+14,1.841704615582742974e+02,1.627798809121956570e-06,1.627798809121956538e+03,-1.873613639904144463e+02,1.835961631585880286e-22
-2.510000000000000000e+02,1.842056615582743125e+14,1.842056615582743007e+02,1.627487751809187957e-06,1.627487751809188012e+03,-1.803283988496965549e+02,9.271715885886066921e-22
-2.500000000000000000e+02,1.842408615582743125e+14,1.842408615582743039e+02,1.627176813354063712e-06,1.627176813354063825e+03,-1.873815072496078074e+02,1.827465871161886504e-22
-2.490000000000000000e+02,1.842760615582743125e+14,1.842760615582743071e+02,1.626865993688472223e-06,1.626865993688472145e+03,-1.859034369339545094e+02,2.568362419191564984e-22
-2.480000000000000000e+02,1.843112615582743125e+14,1.843112615582743103e+02,1.626555292744353545e-06,1.626555292744353437e+03,-1.850774774713399324e+02,3.106363344717011737e-22
-2.470000000000000000e+02,1.843464615582743125e+14,1.843464615582743136e+02,1.626244710453700250e-06,1.626244710453700236e+03,-1.846837275806640832e+02,3.401161402640635348e-22
-2.460000000000000000e+02,1.843816615582743125e+14,1.843816615582743168e+02,1.625934246748556366e-06,1.625934246748556461e+03,-1.777954881730755403e+02,1.661311925834765953e-21
-2.450000000000000000e+02,1.844168615582743125e+14,1.844168615582743200e+02,1.625623901561018016e-06,1.625623901561018101e+03,-1.824043398884597877e+02,5.748651895867059758e-22
-2.440000000000000000e+02,1.844520615582743125e+14,1.844520615582742948e+02,1.625313674823232989e-06,1.625313674823232986e+03,-1.832733291664180797e+02,4.706164281718645795e-22
-2.430000000000000000e+02,1.844872615582743125e+14,1.844872615582742981e+02,1.625003566467400957e-06,1.625003566467401015e+03,-1.831296790565360197e+02,4.864431524944687336e-22
-2.420000000000000000e+02,1.845224615582743125e+14,1.845224615582743013e+02,1.624693576425773473e-06,1.624693576425773472e+03,-1.781208757859226637e+02,1.541389589358071032e-21
-2.410000000000000000e+02,1.845576615582743125e+14,1.845576615582743045e+02,1.624383704630653544e-06,1.624383704630653483e+03,-1.765051527554896325e+02,2.236066547608662406e-21
-2.400000000000000000e+02,1.845928615582743125e+14,1.845928615582743078e+02,1.624073951014396062e-06,1.624073951014396016e+03,-1.757859725547399421e+02,2.638777331026244890e-21
-2.390000000000000000e+02,1.846280615582743125e+14,1.846280615582743110e+02,1.623764315509407373e-06,1.623764315509407425e+03,-1.829525579564953830e+02,5.066921831069508416e-22
-2.380000000000000000e+02,1.846632615582743125e+14,1.846632615582743142e+02,1.623454798048145071e-06,1.623454798048144994e+03,-1.836975000371762974e+02,4.268251447492432771e-22
